date	point1	poin2	point3
228	62.0	53.0	67.6
229	63.8	51.0	69.0
230	64.5	51.4	72.7
231	61.0	52.2	73.7
232	62.6	52.4	77.5
233	66.2	54.5	75.8
234	62.7	52.8	76.9
235	63.7	53.9	78.8
236	66.4	56.5	77.7
237	64.5	54.7	80.6
238	65.4	52.5	81.4
239	69.4	52.1	82.3
240	71.9	52.2	80.3
241	74.4	52.9	80.3
242	75.9	52.1	82.2
243	72.9	52.1	81.9
244	72.5	53.3	82.4
245	67.2	54.8	77.9
246	68.3	54.0	81.1
247	67.7	52.3	82.2
248	61.9	55.3	81.2
249	58.3	53.5	83.0
250	61.7	54.1	83.2
251	66.7	53.9	82.1
252	68.7	54.4	77.5
253	72.2	55.0	77.9
254	72.6	60.0	82.9
255	69.2	57.2	86.8
256	66.9	55.1	85.3
257	66.7	53.3	76.9
258	67.7	53.4	84.5
259	68.5	54.6	84.4
260	67.5	57.0	83.8
261	64.2	55.6	82.5
262	61.7	52.5	82.9
263	66.4	53.9	82.5
264	77.9	55.3	81.3
265	88.3	53.3	80.8
266	82.2	54.1	81.7
267	77.0	55.2	83.9
268	75.4	55.8	85.5
269	70.9	56.8	87.2
270	65.9	57.5	88.0
271	73.5	57.7	89.6
272	77.4	56.6	86.7
273	79.6	56.4	85.3
274	84.2	58.4	81.7
275	81.8	58.8	78.5
276	82.5	56.4	83.1
277	80.2	56.5	83.1
278	77.8	55.8	84.5
279	86.1	54.8	84.6
280	79.9	54.9	84.2
281	83.5	54.7	86.7
282	81.5	52.8	84.3
283	77.8	53.7	83.7
284	76.1	53.1	77.1
285	76.3	52.7	77.4
286	75.8	52.0	80.6
287	77.2	53.4	81.4
288	79.3	54.0	80.2
289	78.9	54.0	81.8
290	79.6	54.5	77.3
291	83.3	56.7	80.8
292	84.3	57.5	81.6
293	75.1	57.1	80.9
294	68.4	58.1	83.9
295	68.4	57.6	85.6
296	72.2	56.0	83.6
297	75.6	56.6	84.0
298	82.6	57.8	83.0
299	78.4	57.5	84.8
300	77.0	56.4	84.4
301	79.4	55.3	84.3
302	77.4	55.0	83.9
303	72.5	55.6	85.0
304	72.9	55.6	84.9
305	73.6	55.9	86.3
306	75.0	55.4	86.5
307	77.7	54.4	85.8
308	79.7	53.7	85.3
309	79.6	54.1	86.0
310	81.5	57.8	84.2
311	80.0	58.2	81.9
312	75.7	58.0	86.5
313	77.8	57.0	86.1
314	78.6	55.0	86.8
315	77.8	54.8	88.0
316	78.5	53.0	85.1
317	78.8	52.5	87.4
318	78.6	53.3	88.0
319	76.8	53.9	88.0
320	76.7	56.2	87.2
321	75.9	57.1	86.1
322	77.6	55.3	86.8
323	72.6	56.2	84.9
324	70.4	54.3	76.8
325	71.8	53.1	80.6
326	73.6	53.4	80.0
327	74.7	54.5	78.2
328	74.6	55.7	79.1
329	76.0	54.8	81.9
330	76.2	53.8	84.7
331	73.4	56.5	83.5
332	74.6	58.3	82.1
333	79.4	58.7	84.0
334	74.7	57.5	85.7
335	73.5	55.9	87.2
336	77.9	55.4	82.9
337	80.7	55.7	84.8
338	75.1	53.1	83.9
339	73.5	53.5	85.5
340	73.5	52.5	86.4
341	77.7	54.5	85.8
342	74.2	56.3	85.4
343	76.0	56.4	85.3
344	77.1	56.5	81.9
345	69.7	56.4	74.8
346	67.8	55.4	71.6
347	64.0	56.2	75.9
348	68.1	55.7	82.1
349	69.3	54.3	80.5
350	70.0	55.2	70.0
351	69.3	54.3	71.2
352	66.3	52.9	70.3
353	67.0	54.8	72.1
354	72.8	54.8	73.7
355	67.2	56.8	72.7
356	62.1	55.4	71.7
357	64.0	55.8	72.9
358	65.5	55.9	73.1
359	65.7	52.8	75.6
360	60.4	54.5	78.3
361	63.2	53.3	78.3
362	68.5	53.6	79.6
363	69.2	52.1	76.4
364	68.7	52.6	77.2
365	62.5	53.9	75.2
366	62.3	55.1	71.9
